 coating x n_core k_core n_shell k_shell lambda
11178143 0.060 10.271 1.376 0.019 1.369 0.090 5200.000
11187841 0.060 284.239 1.484 0.099 1.505 0.019 210.000
11198339 0.060 3.142 1.451 0.023 1.463 0.019 2000.000
11199314 0.060 235.619 1.474 0.064 1.494 0.019 240.000
11204705 0.060 179.520 1.478 0.072 1.505 0.019 210.000
11205152 0.060 85.272 1.450 0.019 1.475 0.019 700.000
11205959 0.060 4.189 1.430 0.013 1.475 0.019 750.000
11207384 0.060 0.898 1.469 0.021 1.475 0.019 700.000
11211336 0.060 12.566 1.485 0.053 1.542 0.019 100.000
11211675 0.060 0.665 1.412 0.013 1.482 0.028 4250.000
11220267 0.060 224.399 1.488 0.052 1.505 0.019 210.000
11223243 0.060 14.960 1.454 0.030 1.505 0.019 210.000
11228278 0.060 89.760 1.448 0.014 1.475 0.019 700.000
11233461 0.060 1.047 1.737 0.324 1.586 0.189 30000.000
11234006 0.060 11.262 1.422 0.038 1.463 0.045 5300.000
11235462 0.060 125.664 1.422 0.004 1.484 0.019 300.000
11235933 0.060 8.527 1.362 0.030 1.470 0.042 7000.000
11243657 0.060 73.920 1.394 0.000 1.475 0.019 850.000
11249977 0.060 3.383 1.451 0.019 1.434 0.009 650.000
11251252 0.060 3.927 1.744 0.849 1.573 0.162 14400.000
11252013 0.060 12.293 1.470 0.068 1.472 0.009 230.000
11256838 0.060 0.785 2.310 0.336 1.667 0.388 60000.000
11259603 0.060 0.506 1.443 0.031 1.433 0.053 4350.000
11260268 0.060 47.124 1.464 0.019 1.434 0.009 600.000
11262658 0.060 5.585 1.191 0.562 1.478 0.183 9000.000
11263479 0.060 16.755 1.477 0.064 1.505 0.009 150.000
11264144 0.060 3.982 1.321 0.069 1.383 0.075 7100.000
11264175 0.060 48.332 1.431 0.012 1.434 0.009 650.000
11271492 0.060 17.952 1.473 0.021 1.433 0.009 700.000
11273284 0.060 15.708 1.454 0.017 1.441 0.009 400.000
11273293 0.060 7.392 1.449 0.016 1.432 0.009 850.000
11274957 0.060 6.283 1.433 0.012 1.447 0.009 350.000
11275348 0.060 2.992 1.411 0.011 1.435 0.053 4200.000
11275940 0.060 439.823 1.485 0.043 1.525 0.009 100.000
11277808 0.060 136.136 1.482 0.027 1.454 0.009 300.000
11284760 0.060 4.488 1.448 0.014 1.433 0.009 700.000
11289634 0.060 1.335 1.696 0.136 1.688 0.238 40000.000
11291155 0.060 8.861 1.451 0.035 1.437 0.064 3900.000
112912 0.000 102.102 1.494 0.020 1.351 0.000 400.000
11292955 0.060 6.896 1.407 0.006 1.437 0.053 4100.000
11295384 0.060 10.472 1.487 0.054 1.419 0.059 5100.000
